Method,Mode,Gamma,Abs Error,Rel Error
Regular PINN,0,0,0.03168931201833176,3.5261679187229964
Regular PINN,0,20,958.3309326171875,95833.09326171875
Regular PINN,0,40,37.38599395751953,3738.599395751953
Regular PINN,0,60,2163.01953125,216301.953125
Regular PINN,0,80,545.2509765625,54525.09765625
Regular PINN,0,100,0.030352137982845306,3.0352137982845306
Curriculum Training,0,0,0.0001825480227744757,0.020264711128072693
Curriculum Training,0,20,19.613447189331055,1961.3447189331055
Curriculum Training,0,40,143.49440002441406,14349.440002441406
Curriculum Training,0,60,12.153053283691406,1215.3053283691406
Curriculum Training,0,80,506.04437255859375,50604.437255859375
Curriculum Training,0,100,5.580629825592041,558.0629825592041
PL-PINN (ours),0,0,0.003999081088844668,0.44502523639449054
PL-PINN (ours),0,20,0.008300811983644962,0.8300811983644962
PL-PINN (ours),0,40,0.017686473205685616,1.7686473205685616
PL-PINN (ours),0,60,0.053173892199993134,5.317389219999313
PL-PINN (ours),0,80,0.03854449838399887,3.854449838399887
PL-PINN (ours),0,100,0.08318769186735153,8.318769186735153
