Method,Avg_Abs_Error,Std_Abs_Error,Avg_Rel_Error,Std_Rel_Error
Regular PINN,598.334604757731,622.1790035860373,59838.81050812193,62211.73093707642
Curriculum Training,222.41948820498388,235.75262167692668,22246.97327073099,23569.583682062916
PL-PINN (ours),0.005849759152849981,0.008366926225545367,0.954732255103881,1.7276332024480368
