Mode,Gamma,Curriculum Training,PL-PINN (ours),Regular PINN
0,0,0.047956156629487504,0.1778172698993905,0.039001857210880966
0,20,40.185004472732544,15.277311205863953,29.896944761276245
0,40,127.3248553276062,4.271039739251137,205.48851490020752
0,60,240.31784534454346,0.4763346165418625,307.26773738861084
0,80,521.3400840759277,0.16494645969942212,642.4578189849854
0,100,364.3782138824463,0.05201420281082392,0.020411083824001253
1,0,0.00550853548673851,0.034950264541203875,0.0800629741857384
1,20,30.172711610794067,31.199362874031067,18.59889030456543
1,40,108.12917947769165,39.89216983318329,99.28153157234192
1,60,216.88389778137207,37.13154494762421,48.129165172576904
1,80,353.2342195510864,49.93991553783417,344.2927360534668
1,100,509.7770690917969,62.325942516326904,1861.929702758789
2,0,0.00031577075639298605,0.13444558862785,0.040620184341091
2,20,26.43372416496277,22.67948091030121,19.747444987297058
2,40,104.99765872955322,28.615814447402954,70.2064037322998
2,60,234.06622409820557,36.91248893737793,195.54779529571533
2,80,416.7998790740967,44.62777078151703,362.9974603652954
2,100,653.2950401306152,51.95205807685852,264.4324064254761
3,0,0.0008830143015447252,0.03512096123088785,0.20206807480943764
3,20,24.0839883685112,50.22813677787781,1210.9563827514648
3,40,90.0286853313446,78.90547513961792,62.31911778450012
3,60,183.2564115524292,78.23322415351868,75181.298828125
3,80,315.02296924591064,93.61542463302612,18909.205627441406
3,100,488.15016746520996,108.14793109893799,176.2612223625183
4,0,0.0005331990824143197,0.0750009149155394,0.03402037974602071
4,20,23.052147030830383,46.957024931907654,28.715088963508606
4,40,92.33103394508362,78.7446677684784,56.5169095993042
4,60,205.1955223083496,113.67099285125732,123.48943948745728
4,80,365.38615226745605,145.41237354278564,63273.260498046875
4,100,573.1053352355957,110.62175035476685,114.7226333618164
5,0,0.0020142960042162216,0.047086041462219286,0.16520340969341263
5,20,22.16687649488449,52.20668315887451,25.879457592964172
5,40,85.46572923660278,40.270692110061646,66.25814437866211
5,60,172.5016474723816,43.251436948776245,126.79189443588257
5,80,283.3354711532593,45.08993625640869,177.76899337768555
5,100,424.0825653076172,51.543909311294556,180.69905042648315
