Mode,Gamma,Curriculum Training,PL-PINN (ours),Regular PINN
0,0,8.511554653838999e-05,0.0002681377673057705,7.920986157797836e-05
0,20,0.40185004472732544,0.15277311205863953,0.29896944761276245
0,40,1.273248553276062,0.04271039739251137,2.054885149002075
0,60,2.4031784534454346,0.004763346165418625,3.0726773738861084
0,80,5.213400840759277,0.0016494645969942212,6.4245781898498535
0,100,3.643782138824463,0.0005201420281082392,0.00020411083824001253
1,0,1.139915672869454e-05,7.0894581542107e-05,0.0001644829080530813
1,20,0.3017271161079407,0.31199362874031067,0.1859889030456543
1,40,1.0812917947769165,0.3989216983318329,0.9928153157234192
1,60,2.1688389778137207,0.37131544947624207,0.48129165172576904
1,80,3.5323421955108643,0.4993991553783417,3.442927360534668
1,100,5.097770690917969,0.623259425163269,18.61929702758789
2,0,6.7182635629872e-07,0.00023407048194708875,7.22252656891125e-05
2,20,0.2643372416496277,0.22679480910301208,0.19747444987297058
2,40,1.0499765872955322,0.28615814447402954,0.702064037322998
2,60,2.3406622409820557,0.3691248893737793,1.9554779529571533
2,80,4.167998790740967,0.4462777078151703,3.629974603652954
2,100,6.532950401306152,0.5195205807685852,2.6443240642547607
3,0,1.6544366889998725e-06,7.202993295228876e-05,0.00040566404130057946
3,20,0.240839883685112,0.5022813677787781,12.109563827514648
3,40,0.900286853313446,0.7890547513961792,0.6231911778450012
3,60,1.832564115524292,0.7823322415351868,751.81298828125
3,80,3.1502296924591064,0.9361542463302612,189.09205627441406
3,100,4.8815016746521,1.0814793109893799,1.762612223625183
4,0,1.0767998072800065e-06,0.0001454458347430424,6.0874340848628775e-05
4,20,0.23052147030830383,0.46957024931907654,0.28715088963508606
4,40,0.9233103394508362,0.7874466776847839,0.565169095993042
4,60,2.051955223083496,1.1367099285125732,1.2348943948745728
4,80,3.6538615226745605,1.4541237354278564,632.7326049804688
4,100,5.731053352355957,1.1062175035476685,1.147226333618164
5,0,4.037887623712072e-06,9.274090529593351e-05,0.0003071234128561681
5,20,0.2216687649488449,0.5220668315887451,0.2587945759296417
5,40,0.8546572923660278,0.40270692110061646,0.6625814437866211
5,60,1.725016474723816,0.43251436948776245,1.2679189443588257
5,80,2.8333547115325928,0.4508993625640869,1.7776899337768555
5,100,4.240825653076172,0.5154390931129456,1.8069905042648315
