Method,Mode,Gamma,Abs Error,Rel Error
Curriculum Training,0,20,95.742919921875,9574.2919921875
Curriculum Training,0,40,432.0589294433594,43205.89294433594
Curriculum Training,0,60,1182.905517578125,118290.5517578125
Curriculum Training,0,80,1819.578369140625,181957.8369140625
Curriculum Training,0,100,4508.14111328125,450814.111328125
Curriculum Training,1,0,0.07979823903981015,7.990202395310721
Curriculum Training,1,20,126.60321044921875,12660.321044921875
Curriculum Training,1,40,378.0304260253906,37803.04260253906
Curriculum Training,1,60,3393.3408203125,339334.08203125
Curriculum Training,1,80,12258.1767578125,1225817.67578125
Curriculum Training,1,100,5531.47216796875,553147.216796875
Curriculum Training,2,0,0.03750686265250135,3.91154746577155
Curriculum Training,2,20,206.1161651611328,20611.61651611328
Curriculum Training,2,40,511.0434875488281,51104.34875488281
Curriculum Training,2,60,950.6536254882812,95065.36254882812
Curriculum Training,2,80,7765.8017578125,776580.17578125
Curriculum Training,2,100,6791.5595703125,679155.95703125
Curriculum Training,3,0,0.0013722688561538306,0.13732452312032883
Curriculum Training,3,20,127.9512710571289,12795.12710571289
Curriculum Training,3,40,409.4039611816406,40940.39611816406
Curriculum Training,3,60,2189.590087890625,218959.0087890625
Curriculum Training,3,80,1764.13623046875,176413.623046875
Curriculum Training,3,100,4638.27587890625,463827.587890625
Curriculum Training,4,0,0.0008157699319846944,0.08393850025569287
Curriculum Training,4,20,99.2481460571289,9924.81460571289
Curriculum Training,4,40,437.60528564453125,43760.528564453125
Curriculum Training,4,60,1559.2978515625,155929.78515625
Curriculum Training,4,80,2778.15576171875,277815.576171875
Curriculum Training,4,100,6877.259765625,687725.9765625
Curriculum Training,5,0,0.016678865323308856,1.668782117426015
Curriculum Training,5,20,111.06417083740234,11106.417083740234
Curriculum Training,5,40,457.589111328125,45758.9111328125
Curriculum Training,5,60,908.1646118164062,90816.46118164062
Curriculum Training,5,80,1579.1405029296875,157914.05029296875
Curriculum Training,5,100,2687.218017578125,268721.8017578125
PL-PINN,0,0,0.001288744840656582,0.16401827812489167
PL-PINN,0,20,0.010347000323235989,1.0347000323235989
PL-PINN,0,40,0.01438487134873867,1.438487134873867
PL-PINN,0,60,0.02360868826508522,2.360868826508522
PL-PINN,0,80,0.05605348199605942,5.605348199605942
PL-PINN,0,100,0.06378229707479477,6.378229707479477
PL-PINN,1,0,9.934125086146875e-05,0.009979218170299904
PL-PINN,1,20,0.016394194215536118,1.6394194215536118
PL-PINN,1,40,0.07573628425598145,7.5736284255981445
PL-PINN,1,60,4.916018009185791,491.6018009185791
PL-PINN,1,80,0.25981637835502625,25.981637835502625
PL-PINN,1,100,0.21932725608348846,21.932725608348846
PL-PINN,2,0,6.478691607173392e-05,0.006795380908138149
PL-PINN,2,20,0.09238433837890625,9.238433837890625
PL-PINN,2,40,0.17499272525310516,17.499272525310516
PL-PINN,2,60,0.2738378942012787,27.38378942012787
PL-PINN,2,80,0.30828970670700073,30.828970670700073
PL-PINN,2,100,0.4114161431789398,41.14161431789398
PL-PINN,3,0,2.166306052352191e-06,0.0002199629599511963
PL-PINN,3,20,0.12118128687143326,12.118128687143326
PL-PINN,3,40,0.22615312039852142,22.615312039852142
PL-PINN,3,60,0.4714113175868988,47.14113175868988
PL-PINN,3,80,0.5252707004547119,52.52707004547119
PL-PINN,3,100,0.8095322847366333,80.95322847366333
PL-PINN,4,0,0.0003521526192045786,0.03581806140510727
PL-PINN,4,20,0.2674376964569092,26.743769645690918
PL-PINN,4,40,0.5390444993972778,53.90444993972778
PL-PINN,4,60,0.5739900469779968,57.39900469779968
PL-PINN,4,80,0.8756192922592163,87.56192922592163
PL-PINN,4,100,0.8502741456031799,85.027414560318
PL-PINN,5,0,0.00013085573537682544,0.013099151208824815
PL-PINN,5,20,0.8301391005516052,83.01391005516052
PL-PINN,5,40,1.9657683372497559,196.5768337249756
PL-PINN,5,60,1.4883506298065186,148.83506298065186
PL-PINN,5,80,1.6484606266021729,164.84606266021729
PL-PINN,5,100,4.066270351409912,406.6270351409912
