Mode,Gamma,Curriculum Training,PL-PINN,Vanilla PINN
0,0,0.002069261674912463,0.003126983130552414,0.0033258322620378627
0,20,72.66700863838196,0.48413858748972416,9.285689890384674
0,40,10.716009885072708,0.9006768465042114,34.5311164855957
0,60,10.089009255170822,2.116391994059086,53.819507360458374
0,80,10.246159136295319,2.319703996181488,96.77828550338745
0,100,8.721952885389328,3.7810008972883224,41.4367139339447
1,0,6.478387143065508,0.0005313254218100302,1.8863326942699783
1,20,1.6758471727371216,1.601543091237545,17.775818705558777
1,40,13.158825039863586,4.695231467485428,59.758061170578
1,60,18.592894077301025,5.158675089478493,55.27884364128113
1,80,849.4027137756348,13.006216287612915,67.73803234100342
1,100,27.850276231765747,7.231253385543823,125.23303031921387
2,0,1.0512497220703163,0.0003116863689426398,1.9416960813620296
2,20,41.94546043872833,1.3625742867588997,3.4376922994852066
2,40,1619.9710845947266,2.8726469725370407,3.1170014292001724
2,60,70.59144377708435,3.74038927257061,188.53100538253784
2,80,61.14078164100647,9.618870913982391,10.121586173772812
2,100,56.88673257827759,7.0930615067481995,179.88812923431396
3,0,3.112102358596356,0.00015208083057247253,7.955496469393308
3,20,78.18423509597778,1.5808163210749626,20.398089289665222
3,40,81.86216354370117,3.2699819654226303,53.571611642837524
3,60,71.42493724822998,7.87581205368042,40.57777225971222
3,80,57.324498891830444,13.377837836742401,103.30016613006592
3,100,4495.764541625977,23.378102481365204,114.8625373840332
4,0,141.42121964815624,0.0004289400123063911,141.42194698257666
4,20,0.08341476204805076,1.9594715908169746,1.4031821861863136
4,40,0.16441739862784743,4.949270561337471,148.71164560317993
4,60,0.6309896241873503,9.714861959218979,165.82025289535522
4,80,1.5527961775660515,12.378820031881332,180.07797002792358
4,100,1.8052853643894196,21.692880988121033,191.37448072433472
5,0,1.5138314283197336,0.0001949051504320391,141.4193315483666
5,20,4985.237121582031,2.4155091494321823,0.9985783137381077
5,40,4366.656112670898,5.306728929281235,4.2318325489759445
5,60,7.128683477640152,10.692944377660751,219.1577911376953
5,80,37.96044588088989,17.407788336277008,208.23216438293457
5,100,229.45961952209473,23.9484503865242,349.4133472442627
