Mode,Best_Abs_Method,Best_Abs_Value,Best_Rel_Method,Best_Rel_Value
0,PL-PINN,0.016007897912953466,PL-PINN,1.6008398841088975
1,PL-PINN,0.052822190061694974,PL-PINN,5.282241774463336
2,PL-PINN,0.04114631041673336,PL-PINN,4.114642439827681
3,PL-PINN,0.08247113589920206,PL-PINN,8.247117123186031
4,PL-PINN,0.08449272879890618,PL-PINN,8.449289011898015
5,PL-PINN,0.09961932516516547,PL-PINN,9.9619360140543
