Method,Avg_Abs_Error,Std_Abs_Error,Avg_Rel_Error,Std_Rel_Error
Regular PINN,412.4875247539007,790.4628213164154,41248.75686691909,79046.27938169791
Curriculum Training,12075.095675663963,14845.050759945168,1207509.5679443674,1484505.0756255828
PL-PINN (ours),0.745426110388343,0.5208199358641846,74.55010400067307,52.06919535138254
