Method,Avg_Abs_Error,Std_Abs_Error,Avg_Rel_Error,Std_Rel_Error
Regular PINN,910.8226466863634,979.1504075857353,91082.28339574048,97915.01985444769
Curriculum Training,8297.513626769074,16159.66023543036,829751.3661489496,1615966.0214036857
PL-PINN (ours),0.14043573984230653,0.12647487290919998,14.051024087008317,12.637855405163485
