Gamma,Curriculum Training,PL-PINN (ours),Regular PINN
0,6.411761853562776e-06,0.0033737694489273484,0.0012706910397822589
20,5804.74560546875,0.09127512574195862,566.1915893554688
40,30699.83203125,0.2547380328178406,62.21356201171875
60,44247.84765625,0.15125149488449097,1644238.375
80,140329.25,0.6442517638206482,11291916.0
100,110641.125,0.5334424376487732,1.490039348602295
