Method,Avg_Abs_Error,Std_Abs_Error,Avg_Rel_Error,Std_Rel_Error
Regular PINN,2156130.7119102343,4523659.784472504,215613071.19339237,452365978.44589543
Curriculum Training,55287.13338323008,57494.0014626214,5528713.338334941,5749400.146248371
PL-PINN (ours),0.2797221040604398,0.25544684278294993,27.978594179380398,25.536400383803706
