Method,Mode,Gamma,Abs Error,Rel Error
Regular PINN,0,0,0.0012706910397822589,0.14128252046708517
Regular PINN,0,20,566.1915893554688,56619.158935546875
Regular PINN,0,40,62.21356201171875,6221.356201171875
Regular PINN,0,60,1644238.375,164423837.5
Regular PINN,0,80,11291916.0,1129191600.0
Regular PINN,0,100,1.4900391101837158,149.00391101837158
Curriculum Training,0,0,6.411761853562776e-06,0.0007127728726684313
Curriculum Training,0,20,5804.74560546875,580474.560546875
Curriculum Training,0,40,30699.828125,3069982.8125
Curriculum Training,0,60,44247.84765625,4424784.765625
Curriculum Training,0,80,140329.25,14032925.0
Curriculum Training,0,100,110641.125,11064112.5
PL-PINN (ours),0,0,0.003906787548717617,0.435862967196692
PL-PINN (ours),0,20,0.11364340037107468,11.364340037107468
PL-PINN (ours),0,40,0.28638896346092224,28.638896346092224
PL-PINN (ours),0,60,0.18256902694702148,18.25690269470215
PL-PINN (ours),0,80,0.4040496051311493,40.40496051311493
PL-PINN (ours),0,100,0.5026801228523254,50.268012285232544
