Mode,Best_Abs_Method,Best_Abs_Value,Best_Rel_Method,Best_Rel_Value
0,PL-PINN,0.004179328906859252,PL-PINN,4.756692742961086
1,PL-PINN,0.007092716256052453,PL-PINN,7.205539993744032
2,PL-PINN,0.011909369164574897,PL-PINN,12.314961007999273
3,PL-PINN,0.016586019152101516,PL-PINN,17.027434134466763
4,PL-PINN,0.021424841380780723,PL-PINN,21.100452858135462
5,PL-PINN,0.026214776129522374,PL-PINN,24.288891066630057
