Mode,Best_Abs_Method,Best_Abs_Value,Best_Rel_Method,Best_Rel_Value
0,PL-PINN,0.0024995092731512464,PL-PINN,4.333123524885225
1,PL-PINN,0.005442539577196732,PL-PINN,8.86312018173083
2,PL-PINN,0.008718156489648897,PL-PINN,13.314862339331894
3,PL-PINN,0.012091901026387781,PL-PINN,17.407048292959345
4,PL-PINN,0.01532852069323714,PL-PINN,20.885339901310463
5,PL-PINN,0.018481663627930668,PL-PINN,23.834304812096025
