Method,Avg_Abs_Error,Std_Abs_Error,Avg_Rel_Error,Std_Rel_Error
Regular PINN,2.6042508523866974e+21,2.7687051069199887e+21,2.6042508523866973e+23,2.768705106919989e+23
Curriculum Training,7.461767931985553e+21,8.431029047465385e+21,7.461767931985553e+23,8.431029047465385e+23
PL-PINN (ours),3.3493637929520847e+21,3.560708859541832e+21,3.3493637929520847e+23,3.5607088595418325e+23
