Method,Mode,Gamma,Abs Error,Rel Error
Regular PINN,0,0,0.0009060959529930907,0.10074267350496072
Regular PINN,0,20,2.525792059615028e+21,2.525792059615028e+23
Regular PINN,0,40,2.0163996166498476e+21,2.0163996166498476e+23
Regular PINN,0,60,3.6335621632077186e+21,3.6335621632077186e+23
Regular PINN,0,80,8.445166294017245e+18,8.445166294017245e+20
Regular PINN,0,100,7.441306108553572e+21,7.441306108553572e+23
Curriculum Training,0,0,0.008797898532203198,0.9785749403982918
Curriculum Training,0,20,1.4259468839916258e+21,1.4259468839916258e+23
Curriculum Training,0,40,3.3968487446684746e+21,3.3968487446684746e+23
Curriculum Training,0,60,6.194319044429744e+21,6.194319044429744e+23
Curriculum Training,0,80,1.105057698127116e+22,1.1050576981271161e+24
Curriculum Training,0,100,2.2702915937552313e+22,2.2702915937552313e+24
PL-PINN (ours),0,0,0.003991443575679227,0.4437528733064645
PL-PINN (ours),0,20,3.6538516535852086e+20,3.6538516535852086e+22
PL-PINN (ours),0,40,1.4615406614340834e+21,1.4615406614340834e+23
PL-PINN (ours),0,60,3.288466241936083e+21,3.288466241936083e+23
PL-PINN (ours),0,80,5.846162645736334e+21,5.846162645736334e+23
PL-PINN (ours),0,100,9.134628043247487e+21,9.134628043247487e+23
