Method,Mode,Gamma,Abs Error,Rel Error
Regular PINN,0,0,0.0007918531289620416,0.08818994630882655
Regular PINN,0,20,25547350016.0,2554735001600.0
Regular PINN,0,40,101110120448.0,10111012044800.0
Regular PINN,0,60,180987396096.0,18098739609600.0
Regular PINN,0,80,319452971008.0,31945297100800.0
Regular PINN,0,100,0.5988671779632568,59.886717796325684
Curriculum Training,0,0,1.7709945462235462e-05,0.0019693132165019764
Curriculum Training,0,20,76686270464.0,7668627046400.0
Curriculum Training,0,40,1057097842688.0,105709784268800.0
Curriculum Training,0,60,179621658624.0,17962165862400.0
Curriculum Training,0,80,13993451192320.0,1399345119232000.0
Curriculum Training,0,100,197217812480.0,19721781248000.0
PL-PINN (ours),0,0,0.003909038003080705,0.4361218480722787
PL-PINN (ours),0,20,10920.7119140625,1092071.19140625
PL-PINN (ours),0,40,10260.2041015625,1026020.41015625
PL-PINN (ours),0,60,9854.7080078125,985470.80078125
PL-PINN (ours),0,80,9559.482421875,955948.2421875
PL-PINN (ours),0,100,9327.193359375,932719.3359375
