Mode,Gamma,Curriculum Training,PL-PINN (ours),Regular PINN
0,0,0.0019693132165019764,0.4361218480722787,0.08818994630882655
0,20,7668627046400.0,1092071.19140625,2554735001600.0
0,40,105709784268800.0,1026020.41015625,10111012044800.0
0,60,17962165862400.0,985470.80078125,18098739609600.0
0,80,1399345119232000.0,955948.2421875,31945297100800.0
0,100,19721781248000.0,932719.3359375,59.886717796325684
