Method,Avg_Abs_Error,Std_Abs_Error,Avg_Rel_Error,Std_Rel_Error
Regular PINN,104516306261.43327,126602221255.47029,10451630626143.328,12660222125547.027
Curriculum Training,2584012462762.6665,5602650252594.121,258401246276266.66,560265025259412.1
PL-PINN (ours),8320.383952287584,4114.766391700101,832038.4027650998,411476.620883123
