Method,Avg_Abs_Error,Std_Abs_Error,Avg_Rel_Error,Std_Rel_Error
Regular PINN,1089.2709782373431,1701.2538726403839,108927.09831632208,170125.3868855683
Curriculum Training,2357.1315522521068,2407.3988789231603,235713.15546606714,240739.88760932322
PL-PINN (ours),0.05018022387820926,0.03987065749102364,5.025570660901566,3.9765885713670936
