Method,Mode,Gamma,Abs Error,Rel Error
Regular PINN,0,0,0.0004922257270819648,0.275841315538932
Regular PINN,0,20,0.002481588628143072,0.2481588628143072
Regular PINN,0,40,0.3857363760471344,38.57363760471344
Regular PINN,0,60,0.3789208233356476,37.89208233356476
Regular PINN,0,80,0.22908000648021698,22.908000648021698
Regular PINN,0,100,2.325772584299557e-05,0.002325772584299557
Curriculum Training,0,0,0.007555735743684649,3.703567235118848
Curriculum Training,0,20,0.0704582929611206,7.0458292961120605
Curriculum Training,0,40,0.6324975490570068,63.249754905700684
Curriculum Training,0,60,0.9061737060546875,90.61737060546875
Curriculum Training,0,80,45.57286071777344,4557.286071777344
Curriculum Training,0,100,0.029286183416843414,2.9286183416843414
PL-PINN (ours),0,0,0.00014502712801812184,0.09559638778497358
PL-PINN (ours),0,20,1.098691973311361e-05,0.001098691973311361
PL-PINN (ours),0,40,9.961527211999055e-06,0.0009961527211999055
PL-PINN (ours),0,60,1.0005375770560931e-05,0.0010005375770560931
PL-PINN (ours),0,80,1.0144849511561915e-05,0.0010144849511561915
PL-PINN (ours),0,100,1.0059614396595862e-05,0.0010059614396595862
