Mode,Gamma,Curriculum Training,PL-PINN (ours),Regular PINN
0,0,0.0003579518699675238,0.0005639242927458246,6.524413291947424e-05
0,20,0.04447351023554802,0.0014229703228920698,0.01910465955734253
0,40,0.09602364897727966,9.908330866892356e-06,0.15168054401874542
0,60,0.14084476232528687,9.979098649637308e-06,0.12813416123390198
0,80,1.1129158735275269,1.5056821212056093e-05,0.061499930918216705
0,100,0.03515446558594704,1.2008468729618471e-05,0.0038712748792022467
1,0,0.0017814242455735222,0.00012663152110832559,6.975539098726513e-05
1,20,0.007331904023885727,0.009074514731764793,0.005282342433929443
1,40,0.02257763221859932,0.028401244431734085,0.015386739745736122
1,60,0.041691407561302185,0.04626237601041794,0.016574284061789513
1,80,0.07110011577606201,0.06757703423500061,0.03494925796985626
1,100,0.08185870945453644,0.07081577181816101,0.009872427210211754
2,0,0.00031490566537729193,0.0001699282934243099,0.0006712028811380052
2,20,0.002320369705557823,0.002392310183495283,0.001901335665024817
2,40,0.00956608634442091,0.008051717653870583,0.011690027080476284
2,60,0.02311430312693119,0.008951088413596153,0.020983213558793068
2,80,0.04312993586063385,0.004039681516587734,0.07258255779743195
2,100,0.05918192118406296,0.005316753871738911,0.025853702798485756
3,0,0.00018350598703083465,8.206625836883064e-05,0.0002328671195396298
3,20,0.0021960525773465633,0.001626978162676096,0.0014589831698685884
3,40,0.014852580614387989,0.006960667669773102,0.005526133347302675
3,60,0.01223422959446907,0.014558185823261738,0.011916675604879856
3,80,0.019833022728562355,0.023380419239401817,0.019840732216835022
3,100,0.0287627000361681,0.03537638485431671,0.0338745191693306
4,0,0.0002998802955066485,0.0003581820385086044,6.846795949126742e-05
4,20,0.0009602549253031611,0.0009690928854979575,0.0009499631705693901
4,40,0.0038900277577340603,0.004012677818536758,0.0038058313075453043
4,60,0.008744316175580025,0.00570119870826602,0.0074479044415056705
4,80,0.015361047349870205,0.0071835825219750404,0.015199476853013039
4,100,0.023221738636493683,0.00938157644122839,0.016807323321700096
5,0,0.00041178949019318994,8.240153744303013e-05,0.0021653888756161302
5,20,0.023850170895457268,0.0007800247985869646,0.004857071675360203
5,40,0.13922488689422607,0.0031477927695959806,0.15981845557689667
5,60,0.019137578085064888,0.007733949925750494,7.1521172523498535
5,80,0.305998295545578,0.014318222180008888,884.7034301757812
5,100,0.01841684803366661,0.020767051726579666,0.0244574174284935
