Mode,Gamma,Curriculum Training,PL-PINN (ours),Regular PINN
0,0,0.22522855532673783,0.26998931510343516,0.03148832017105895
0,20,4.447351023554802,0.14229703228920698,1.910465955734253
0,40,9.602364897727966,0.0009908330866892356,15.168054401874542
0,60,14.084476232528687,0.0009979098649637308,12.813416123390198
0,80,111.29158735275269,0.0015056821212056093,6.1499930918216705
0,100,3.5154465585947037,0.0012008468729618471,0.38712748792022467
1,0,0.9977130395081952,0.07073234960511836,0.034302399161218966
1,20,0.7331904023885727,0.9074514731764793,0.5282342433929443
1,40,2.257763221859932,2.8401244431734085,1.5386739745736122
1,60,4.1691407561302185,4.626237601041794,1.6574284061789513
1,80,7.110011577606201,6.757703423500061,3.494925796985626
1,100,8.185870945453644,7.081577181816101,0.9872427210211754
2,0,0.1542271336594538,0.0903926670063905,0.3305357182677425
2,20,0.23203697055578232,0.2392310183495283,0.1901335665024817
2,40,0.956608634442091,0.8051717653870583,1.1690027080476284
2,60,2.311430312693119,0.8951088413596153,2.098321355879307
2,80,4.312993586063385,0.4039681516587734,7.258255779743195
2,100,5.918192118406296,0.5316753871738911,2.5853702798485756
3,0,0.10038864507782017,0.04804152897091205,0.1151982090060871
3,20,0.21960525773465633,0.1626978162676096,0.14589831698685884
3,40,1.485258061438799,0.6960667669773102,0.5526133347302675
3,60,1.223422959446907,1.4558185823261738,1.1916675604879856
3,80,1.9833022728562355,2.3380419239401817,1.9840732216835022
3,100,2.87627000361681,3.537638485431671,3.3874519169330597
4,0,0.15639703130268906,0.1935544269779854,0.035315267834367566
4,20,0.09602549253031611,0.09690928854979575,0.094996317056939
4,40,0.38900277577340603,0.40126778185367584,0.38058313075453043
4,60,0.8744316175580025,0.570119870826602,0.744790444150567
4,80,1.5361047349870205,0.718358252197504,1.5199476853013039
4,100,2.3221738636493683,0.938157644122839,1.6807323321700096
5,0,0.21061936775125106,0.04178578387321016,1.0383328086853965
5,20,2.3850170895457268,0.07800247985869646,0.4857071675360203
5,40,13.922488689422607,0.31477927695959806,15.981845557689667
5,60,1.9137578085064888,0.7733949925750494,715.2117252349854
5,80,30.5998295545578,1.4318222180008888,88470.34301757812
5,100,1.841684803366661,2.0767051726579666,2.44574174284935
