# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 5.208266113281250000e+03 6.444184082031250000e+03 1.000048398971557617e+00
1.000000000000000000e+03 6.775993347167968750e+01 8.094184112548828125e+01 3.554232716560363770e-01
2.000000000000000000e+03 1.502231025695800781e+01 1.756568908691406250e+01 1.292403638362884521e-01
3.000000000000000000e+03 1.897137880325317383e+00 2.211274147033691406e+00 3.972020372748374939e-02
4.000000000000000000e+03 2.848170101642608643e-01 3.335463404655456543e-01 1.322545949369668961e-02
5.000000000000000000e+03 1.166513562202453613e-01 1.343397051095962524e-01 6.853617262095212936e-03
