Method,Mode,Gamma,Abs Error,Rel Error
Regular PINN,0,0,5.297066927533535e-05,0.0066112343171646215
Regular PINN,0,20,647.6417846679688,64764.178466796875
Regular PINN,0,40,2579.710205078125,257971.0205078125
Regular PINN,0,60,5818.9287109375,581892.87109375
Regular PINN,0,80,10229.544921875,1022954.4921875
Regular PINN,0,100,16065.4853515625,1606548.53515625
Curriculum Training,0,0,6.859224381103148e-06,0.0007878731888052799
Curriculum Training,0,20,504.8915100097656,50489.15100097656
Curriculum Training,0,40,3405.3779296875,340537.79296875
Curriculum Training,0,60,2931.6298828125,293162.98828125
Curriculum Training,0,80,23331.80078125,2333180.078125
Curriculum Training,0,100,5000.0068359375,500000.68359375
PL-PINN (ours),0,0,0.00404805076252871,0.4492473645463198
PL-PINN (ours),0,20,0.20540283620357513,20.540283620357513
PL-PINN (ours),0,40,0.5209552049636841,52.09552049636841
PL-PINN (ours),0,60,0.8491756319999695,84.91756319999695
PL-PINN (ours),0,80,0.9118919968605042,91.18919968605042
PL-PINN (ours),0,100,1.5845904350280762,158.45904350280762
