Method,Avg_Abs_Error,Std_Abs_Error,Avg_Rel_Error,Std_Rel_Error
Regular PINN,5890.218504515295,6253.153455189252,589021.8506705574,625315.3452713467
Curriculum Training,5862.284491092748,8759.231557379931,586228.4491262666,875923.1557243468
PL-PINN (ours),0.6793440259697229,0.5671197965849801,67.9418096450212,56.701397672681004
