Gamma,Curriculum Training,PL-PINN (ours),Regular PINN
0,1.3518782691183712e-05,0.00400223733487632,0.005326743386639641
20,1740655.75,0.5762208104133606,489730572288.0
40,8258435.5,0.7240731120109558,276.34002685546875
60,9443855.0,0.9899834394454956,170.4272918701172
80,60101704.0,0.9074288010597229,37.92990493774414
100,16693555.0,0.7712004780769348,0.1256609708070755
