Method,Avg_Abs_Error,Std_Abs_Error,Avg_Rel_Error,Std_Rel_Error
Regular PINN,81621762128.8047,199931668884.8792,8162176212880.4795,19993166888487.92
Curriculum Training,16039700.875002252,22394979.856624324,1603970087.5002506,2239497985.6624107
PL-PINN (ours),0.5154464074193427,0.27756118099152305,51.55216730355136,27.73947654980049
