Mode,Analytical,Numerical,Difference,Rel. Error (%)
0,0.500000,0.500000,0.000000,0.000000
1,1.500000,1.500000,0.000000,0.000000
2,2.500000,2.500000,0.000000,0.000000
3,3.500000,3.500000,0.000000,0.000000
4,4.500000,4.500000,0.000000,0.000000
5,5.500000,5.500000,0.000000,0.000000
