Method,Mode,Gamma,Abs Error,Rel Error
Regular PINN,0,0,0.00030717302794205177,0.17952670210019026
Regular PINN,0,20,0.00013162806862965226,0.013162806862965226
Regular PINN,0,40,0.0017012835014611483,0.17012835014611483
Regular PINN,0,60,0.001615610672160983,0.1615610672160983
Regular PINN,0,80,0.0018198495963588357,0.18198495963588357
Regular PINN,0,100,9.906940249493346e-06,0.0009906940249493346
Curriculum Training,0,0,0.0016327288067143275,1.0534379781338172
Curriculum Training,0,20,0.0004905658424831927,0.04905658424831927
Curriculum Training,0,40,0.0018937495769932866,0.18937495769932866
Curriculum Training,0,60,0.00379553553648293,0.379553553648293
Curriculum Training,0,80,0.0030938114505261183,0.30938114505261183
Curriculum Training,0,100,0.0016981170047074556,0.16981170047074556
PL-PINN (ours),0,0,0.00013100919826031742,0.08449577494793374
PL-PINN (ours),0,20,9.926236998580862e-06,0.0009926236998580862
PL-PINN (ours),0,40,9.963426236936357e-06,0.0009963426236936357
PL-PINN (ours),0,60,9.97431379801128e-06,0.000997431379801128
PL-PINN (ours),0,80,9.977861736842897e-06,0.0009977861736842897
PL-PINN (ours),0,100,9.966310244635679e-06,0.0009966310244635679
