Mode,Analytical,Numerical,Difference,Rel. Error (%)
0,4.934802,4.856577,-0.078225,1.585166
1,19.739209,19.761044,0.021835,0.110616
2,44.413220,44.408512,-0.004708,0.010600
3,78.956835,78.960197,0.003362,0.004258
4,123.370055,123.365845,-0.004210,0.003413
5,177.652879,177.654205,0.001326,0.000746
