Mode,Gamma,Curriculum Training,PL-PINN,Vanilla PINN
0,0,140.64702779707753,54.20676407218304,16.500509533263177
0,20,55.919039249420166,3.0876055359840393,1.551781315356493
0,40,60.741984844207764,11.502265185117722,9.347248077392578
0,60,37.49109506607056,11.275658756494522,3.8744546473026276
0,80,82.73168802261353,1.8999053165316582,0.6181881763041019
0,100,23.060686886310577,1.4339353889226913,3.3798757940530777
1,0,138.16686122708967,150.75946598363788,142.45822996343628
1,20,44.34046745300293,105.04525899887085,0.2586879301816225
1,40,91.31136536598206,246.7998504638672,2.0210525020956993
1,60,95.46860456466675,5379.851531982422,12.305570393800735
1,80,105.14355897903442,3691351.5625,2.9496029019355774
1,100,19.718915224075317,775.4451751708984,4.825806245207787
2,0,155.71118774507062,126.62092791945459,140.8870084337385
2,20,0.8650488220155239,4772.5250244140625,5.272705107927322
2,40,0.6759245414286852,32304.379272460938,0.7227184716612101
2,60,0.5368003156036139,324713.623046875,0.44171479530632496
2,80,0.5150798242539167,71.50343656539917,0.6461709272116423
2,100,0.5237303674221039,150.38647651672363,0.36678947508335114
3,0,116.01098867890367,151.3367410631896,140.43827022360657
3,20,0.853803101927042,33246.94519042969,17.585666477680206
3,40,2.1082019433379173,15036.962890625,0.3587909508496523
3,60,15.923511981964111,64.76904153823853,2.37384382635355
3,80,3.8657881319522858,9.50283333659172,5.01200444996357
3,100,3.4848257899284363,26084.942626953125,1.4602682553231716
4,0,145.36997229255687,153.45187972853608,141.2581278257567
4,20,10.489363223314285,29576.101684570312,9.340455383062363
4,40,1.132684201002121,937986.328125,5.329659208655357
4,60,0.8368941023945808,9748.890686035156,3.1951971352100372
4,80,0.7043191231787205,681554.4921875,1.1714588850736618
4,100,0.5767468363046646,286794.7509765625,0.034136968315579
5,0,151.53211950755846,150.8538077671842,141.03130677980434
5,20,1.3170278631150723,4462.796783447266,26.428547501564026
5,40,2.5189707055687904,543.7650680541992,3.6270752549171448
5,60,1.8958298489451408,190115.4296875,0.28915193397551775
5,80,4.566427692770958,72612.72583007812,1.7289578914642334
5,100,1.287343818694353,543.8147068023682,1.0593204759061337
