Mode,Best_Abs_Method,Best_Abs_Value,Best_Rel_Method,Best_Rel_Value
0,Vanilla PINN,0.033647845979450634,Vanilla PINN,5.878676257278676
1,Vanilla PINN,0.061633011854189214,Vanilla PINN,27.46982498944295
2,Curriculum Training,0.022893459786843515,Vanilla PINN,24.72285120182139
3,Curriculum Training,0.05661586984749084,Curriculum Training,23.70785327133558
4,Curriculum Training,0.04022646802442141,Curriculum Training,26.518329963125208
5,Curriculum Training,0.03763179704099733,Curriculum Training,27.18628657277546
