Mode,Method,abs_err,rel_err
Mode 0,Regular PINN,6.84e-01,68.380%
Mode 0,Curriculum Training,8.62e-01,86.165%
Mode 0,PL-PINN (ours),**3.68e-04**,**0.062%**
Mode 1,Regular PINN,2.24e-01,22.386%
Mode 1,Curriculum Training,8.02e-01,80.184%
Mode 1,PL-PINN (ours),**1.00e-01**,**10.048%**
Mode 2,Regular PINN,1.68e-01,16.868%
Mode 2,Curriculum Training,7.30e-01,73.008%
Mode 2,PL-PINN (ours),**9.33e-02**,**9.378%**
Mode 3,Regular PINN,1.88e-01,18.779%
Mode 3,Curriculum Training,4.99e-01,49.862%
Mode 3,PL-PINN (ours),**1.47e-01**,**14.740%**
Mode 4,Regular PINN,2.09e+00,208.949%
Mode 4,Curriculum Training,5.36e-01,53.638%
Mode 4,PL-PINN (ours),**1.34e-01**,**13.534%**
Mode 5,Regular PINN,2.58e+04,2581580.385%
Mode 5,Curriculum Training,4.65e+01,4651.359%
Mode 5,PL-PINN (ours),**4.86e-01**,**48.596%**
