Mode,Gamma,Curriculum Training,PL-PINN (ours),Regular PINN
0,0,0.00012248535063157822,0.0002705307466301341,0.0002515928431111561
0,20,0.2419973462820053,0.0010449453257024288,0.0076970504596829414
0,40,0.9437032341957092,0.00024072117230389267,0.12564654648303986
0,60,1.5420539379119873,0.00022448759409599006,0.015492335893213749
0,80,0.9010093212127686,0.0002151910011889413,3.9526402950286865
0,100,1.540283441543579,0.00021128871594555676,0.0001865874364739284
1,0,1.4281373940950774e-05,6.605847240292564e-05,9.531125919535169e-05
1,20,0.13710196316242218,0.04554128646850586,0.03570743277668953
1,40,0.5779442191123962,0.052951712161302567,0.5610923171043396
1,60,1.058002233505249,0.10958421230316162,0.25705593824386597
1,80,1.2989156246185303,0.18639512360095978,0.343439519405365
1,100,1.7390270233154297,0.20806024968624115,0.14537909626960754
2,0,2.0828013243230586e-05,0.000856601188644988,0.0002585887217876112
2,20,0.0960707813501358,0.06620057672262192,0.07460997253656387
2,40,0.37666574120521545,0.14788521826267242,0.09469721466302872
2,60,0.8450936675071716,0.15899382531642914,0.6442067623138428
2,80,1.3910785913467407,0.10343752056360245,0.1054920107126236
2,100,1.671437382698059,0.08216683566570282,0.09165814518928528
3,0,6.650830319157397e-05,0.00014593133406983134,0.00023930711126780169
3,20,0.07262369245290756,0.11554709076881409,0.08253074437379837
3,40,0.2668006718158722,0.1803513914346695,0.2281993329524994
3,60,0.5415984988212585,0.20340003073215485,0.2527228891849518
3,80,0.7911782264709473,0.2122199833393097,0.39755457639694214
3,100,1.3191746473312378,0.17217636108398438,0.16446469724178314
4,0,1.9043445068118178e-06,0.001841930492806334,0.00039783653722654845
4,20,0.06306137889623642,0.09426019340753555,1.6959688663482666
4,40,0.24752749502658844,0.3065931499004364,0.5594832897186279
4,60,0.546745240688324,0.16128303110599518,0.2628847360610962
4,80,0.9306467175483704,0.09762813150882721,9.722197532653809
4,100,1.430262804031372,0.14353109896183014,0.2944551706314087
5,0,0.011084037891616712,0.00022906077115780824,0.0007088719936995202
5,20,266.7391357421875,0.12230413407087326,0.06717262417078018
5,40,1.9804648160934448,0.32703953981399536,0.647758424282074
5,60,7.113360404968262,0.6470084190368652,0.3863067626953125
5,80,1.9697027206420898,0.8074604868888855,154893.234375
5,100,1.22409188747406,1.0108201503753662,0.4838894009590149
