Method,Mode,Gamma,Abs Error,Rel Error
PL-PINN (ours),1,0,0.00016199760673046525,0.08105257585413411
PL-PINN (ours),1,20,9.981496077671181e-06,0.0009981496077671181
PL-PINN (ours),1,40,9.972705811378546e-06,0.0009972705811378546
PL-PINN (ours),1,60,9.743614100443665e-06,0.0009743614100443665
PL-PINN (ours),1,80,8.78955779626267e-06,0.000878955779626267
PL-PINN (ours),1,100,1.013204291666625e-05,0.001013204291666625
PL-PINN (ours),2,0,0.00040611239717883087,0.188066522697936
PL-PINN (ours),2,20,0.0005541685386560857,0.05541685386560857
PL-PINN (ours),2,40,8.926344162318856e-05,0.008926344162318856
PL-PINN (ours),2,60,0.00010015600128099322,0.010015600128099322
PL-PINN (ours),2,80,5.67555362067651e-05,0.00567555362067651
PL-PINN (ours),2,100,7.027239189483225e-05,0.007027239189483225
PL-PINN (ours),3,0,7.757084276477099e-05,0.042617958477473156
PL-PINN (ours),3,20,0.002473587403073907,0.2473587403073907
PL-PINN (ours),3,40,0.0009242043015547097,0.09242043015547097
PL-PINN (ours),3,60,0.00025789436767809093,0.025789436767809093
PL-PINN (ours),3,80,0.00013251959171611816,0.013251959171611816
PL-PINN (ours),3,100,0.0001432491553714499,0.014324915537144989
PL-PINN (ours),4,0,0.00040696928736662727,0.21297507977104732
PL-PINN (ours),4,20,0.00416180957108736,0.41618095710873604
PL-PINN (ours),4,40,9.491558012086898e-05,0.009491558012086898
PL-PINN (ours),4,60,0.00035176685196347535,0.035176685196347535
PL-PINN (ours),4,80,0.00012929078366141766,0.012929078366141766
PL-PINN (ours),4,100,0.00015107593208085746,0.015107593208085746
PL-PINN (ours),5,0,7.017866553338873e-05,0.0361312027653721
PL-PINN (ours),5,20,0.0468515008687973,4.68515008687973
PL-PINN (ours),5,40,0.0004139617958571762,0.04139617958571762
PL-PINN (ours),5,60,0.00021463711163960397,0.021463711163960397
PL-PINN (ours),5,80,0.0005970023921690881,0.05970023921690881
PL-PINN (ours),5,100,0.0009968542726710439,0.09968542726710439
