Mode,Gamma,Curriculum Training,PL-PINN,Vanilla PINN
0,0,2.47449748768701,0.21890015645395575,2.292271446368646
0,20,2.9660282656550407,0.00487043107568752,5.652134865522385
0,40,1.8887333571910858,0.002980144927278161,5.466314032673836
0,60,1.5167972072958946,0.0009758552550920285,4.8925988376140594
0,80,0.7051019463688135,0.00093133357950137,27.66587734222412
0,100,0.4266597330570221,0.0009463707101531327,3.334813192486763
1,0,3.145353915321215,0.2067859173402656,4.906440604760431
1,20,12.653841078281403,0.00093385751824826,10.226467996835709
1,40,4.422253742814064,0.0009967817277356517,30.74069321155548
1,60,2.3892663419246674,0.0010437468517920934,3.0614854767918587
1,80,1.7399178817868233,0.0022111589714768343,6.582556664943695
1,100,1.077804621309042,0.0009921548553393222,11.312563717365265
2,0,7.627822338156441,0.20778187135727091,2.75695329693724
2,20,3.2141800969839096,0.000983353402261855,30.61297833919525
2,40,4.873420670628548,0.0009579529432812706,1.5105846337974072
2,60,4.381712898612022,0.001008867457130691,2.749546617269516
2,80,4.321490973234177,0.000997640654532006,3.0072834342718124
2,100,3.624359518289566,0.0009964611308532767,4.588941857218742
3,0,5.97449313001976,0.19985173661888445,7.21710999295105
3,20,2.759079821407795,0.0009968282938643824,719.450855255127
3,40,4.49337437748909,0.0009963331649487372,428.32560539245605
3,60,5.088922008872032,0.0009855618372967,14.927743375301361
3,80,3.8094963878393173,0.0010498335541342385,16.929440200328827
3,100,2.3425117135047913,0.000999691110337153,8.342069387435913
4,0,22.921527768796818,0.32148347857355863,4.448830106741327
4,20,27.556294202804565,0.0009815149496716913,727.7737140655518
4,40,29.800841212272644,0.0009555784345138818,1.8609391525387764
4,60,6.174570322036743,0.0010324658433091827,740.9023761749268
4,80,6.108177080750465,0.0011653405636025127,671.3377475738525
4,100,5.69194108247757,0.0009794327525014523,2.566836215555668
5,0,78.01136922662614,0.3085406705990525,141.12935269193463
5,20,5.58670349419117,0.0009934453373716678,0.44691446237266064
5,40,2.7447473257780075,0.0009806152775126975,2.1070199087262154
5,60,2.981336787343025,0.0009802475688047707,689.9600982666016
5,80,2.305697835981846,0.0010103985005116556,697.4896430969238
5,100,1.6313280910253525,0.0010565444426902104,0.9499027393758297
