Mode,Best_Abs_Method,Best_Abs_Value,Best_Rel_Method,Best_Rel_Value
0,PL-PINN,6.98603568067411e-05,PL-PINN,0.038267382000277995
1,PL-PINN,6.00425191484432e-05,PL-PINN,0.03549393621080963
2,PL-PINN,6.093763020152124e-05,PL-PINN,0.03545435782422167
3,PL-PINN,6.471809687879622e-05,PL-PINN,0.03414666409657761
4,PL-PINN,7.491548511772894e-05,PL-PINN,0.054432968519526226
5,PL-PINN,7.858336044791522e-05,PL-PINN,0.05226032028765725
