Method,Mode,Gamma,Abs Error,Rel Error
Regular PINN,0,0,0.0011011197628643646,0.12237080714619596
Regular PINN,0,20,910.3776245117188,91037.76245117188
Regular PINN,0,40,1226.875732421875,122687.5732421875
Regular PINN,0,60,37030.19140625,3703019.140625
Regular PINN,0,80,400.4547424316406,40045.47424316406
Regular PINN,0,100,1.037519931793213,103.75199317932129
Curriculum Training,0,0,9.033509066320028e-05,0.010047088594713477
Curriculum Training,0,20,3064.427978515625,306442.7978515625
Curriculum Training,0,40,12876.5458984375,1287654.58984375
Curriculum Training,0,60,23395.0078125,2339500.78125
Curriculum Training,0,80,63004.99609375,6300499.609375
Curriculum Training,0,100,55284.20703125,5528420.703125
PL-PINN (ours),0,0,0.003835686499880694,0.4294668058659667
PL-PINN (ours),0,20,0.5629851818084717,56.29851818084717
PL-PINN (ours),0,40,0.6955744624137878,69.55744624137878
PL-PINN (ours),0,60,0.9316004514694214,93.16004514694214
PL-PINN (ours),0,80,0.7081197500228882,70.81197500228882
PL-PINN (ours),0,100,1.5383250713348389,153.8325071334839
