Method,Avg_Abs_Error,Std_Abs_Error,Avg_Rel_Error,Std_Rel_Error
Regular PINN,6594.823021111132,14918.306258178569,659482.3041542516,1491830.6247340234
Curriculum Training,26270.864150798036,26860.92256094889,2627086.4152487335,2686092.255896626
PL-PINN (ours),0.7400734339248815,0.5000591447476433,74.01499308513446,49.99240097623288
