Method,Mode,Gamma,Abs Error,Rel Error
Vanilla PINN,5,100,0.00030802140827290714,0.030802140827290714
Curriculum Training,0,0,0.17905094549325365,139.58248350928312
Curriculum Training,0,20,0.6146541833877563,61.465418338775635
Curriculum Training,0,40,0.7809368968009949,78.09368968009949
Curriculum Training,0,60,0.8361601829528809,83.61601829528809
Curriculum Training,0,80,0.37235331535339355,37.235331535339355
Curriculum Training,0,100,0.10206208378076553,10.206208378076553
Curriculum Training,1,0,0.18589560674511843,139.54237694675123
Curriculum Training,1,20,0.42327845096588135,42.327845096588135
Curriculum Training,1,40,0.2760925889015198,27.609258890151978
Curriculum Training,1,60,0.16367009282112122,16.36700928211212
Curriculum Training,1,80,0.1189805120229721,11.89805120229721
Curriculum Training,1,100,0.05881568044424057,5.881568044424057
Curriculum Training,2,0,0.10088843217605614,156.97685767953456
Curriculum Training,2,20,0.03584045171737671,3.584045171737671
Curriculum Training,2,40,0.00920040626078844,0.9200406260788441
Curriculum Training,2,60,0.008429254405200481,0.8429254405200481
Curriculum Training,2,80,0.05209667608141899,5.209667608141899
Curriculum Training,2,100,0.019025439396500587,1.9025439396500587
Curriculum Training,3,0,0.08768841452196986,134.38400275522605
Curriculum Training,3,20,0.038248490542173386,3.8248490542173386
Curriculum Training,3,40,0.01457054354250431,1.457054354250431
Curriculum Training,3,60,0.00857504177838564,0.8575041778385639
Curriculum Training,3,80,0.0076956553384661674,0.7695655338466167
Curriculum Training,3,100,0.00775322737172246,0.775322737172246
Curriculum Training,4,0,0.1656289192362293,141.0542301910868
Curriculum Training,4,20,0.6357884407043457,63.57884407043457
Curriculum Training,4,40,0.7779229283332825,77.79229283332825
Curriculum Training,4,60,0.48125919699668884,48.125919699668884
Curriculum Training,4,80,0.22440697252750397,22.440697252750397
Curriculum Training,4,100,0.2638227641582489,26.38227641582489
Curriculum Training,5,0,0.11658955190062839,151.51262649162766
Curriculum Training,5,20,0.024507414549589157,2.4507414549589157
Curriculum Training,5,40,0.16580893099308014,16.580893099308014
Curriculum Training,5,60,0.08221835643053055,8.221835643053055
Curriculum Training,5,80,0.013491390272974968,1.3491390272974968
Curriculum Training,5,100,0.012819802388548851,1.281980238854885
PL-PINN,0,0,0.15682863478704262,139.63849433892796
PL-PINN,0,20,0.22306576371192932,22.306576371192932
PL-PINN,0,40,0.11076746881008148,11.076746881008148
PL-PINN,0,60,0.03320362791419029,3.3203627914190292
PL-PINN,0,80,0.010151350870728493,1.0151350870728493
PL-PINN,0,100,0.017489612102508545,1.7489612102508545
PL-PINN,1,0,0.1938749961675462,156.5178003762471
PL-PINN,1,20,1.7340253591537476,173.40253591537476
PL-PINN,1,40,0.9339635372161865,93.39635372161865
PL-PINN,1,60,2.0749881267547607,207.49881267547607
PL-PINN,1,80,0.20650014281272888,20.650014281272888
PL-PINN,1,100,0.3365347981452942,33.65347981452942
PL-PINN,2,0,0.09407416309533657,146.29719697550206
PL-PINN,2,20,11.786949157714844,1178.6949157714844
PL-PINN,2,40,0.30803248286247253,30.803248286247253
PL-PINN,2,60,14.517730712890625,1451.7730712890625
PL-PINN,2,80,0.6802908182144165,68.02908182144165
PL-PINN,2,100,0.47945427894592285,47.945427894592285
PL-PINN,3,0,0.19524567919730032,129.87143430403708
PL-PINN,3,20,51.74083709716797,5174.083709716797
PL-PINN,3,40,15.00829029083252,1500.829029083252
PL-PINN,3,60,14.065168380737305,1406.5168380737305
PL-PINN,3,80,3.23982310295105,323.982310295105
PL-PINN,3,100,0.6878702044487,68.78702044487
PL-PINN,4,0,0.11868378493386846,134.38221848114173
PL-PINN,4,20,0.20476263761520386,20.476263761520386
PL-PINN,4,40,0.22888632118701935,22.888632118701935
PL-PINN,4,60,0.1594010889530182,15.940108895301819
PL-PINN,4,80,0.30530568957328796,30.530568957328796
PL-PINN,4,100,0.1720336377620697,17.20336377620697
PL-PINN,5,0,0.1928175064500243,129.51415093877122
PL-PINN,5,20,0.18626335263252258,18.62633526325226
PL-PINN,5,40,0.9662425518035889,96.62425518035889
PL-PINN,5,60,0.667643129825592,66.7643129825592
PL-PINN,5,80,0.9716058373451233,97.16058373451233
PL-PINN,5,100,319.5511474609375,31955.11474609375
